\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00066 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 586092        1    0.00010  0.300    0.017   0.00004     2  0.392    0.000  -19118.44  0.042  0.037   17.0      1 261.64502 -2.09270 128.03244 -43.23209       0       1 
 586092        2    0.00019  0.485    0.030  -0.00000     2  0.208    0.000  -16653.43  0.041  0.033   11.7      1 261.64655 -2.09053 128.03608 -43.23204       0       1 
 586092        3    0.00011  0.339    0.020   0.00003     2  0.344    0.000  -16467.73  0.026  0.051   16.0      1 261.64618 -2.09068 128.03562 -43.23183       0       1 
 586092        4    0.00039  0.747    0.053  -0.00002     2  0.096    0.000  -15931.07  0.037  0.028   43.0      1 261.64571 -2.09114 128.03473 -43.23172       0       1 
 586092        5    0.00009  0.147    0.012   0.00001     2  0.750    0.000  -35990.36  0.029  0.033  -18.7      1 261.64656 -2.08957 128.03715 -43.23147       0       1 
 586092        6    0.00009  0.175    0.013   0.00003     2  0.771    0.000  -35294.57  0.038  0.029   26.7      1 261.64495 -2.08958 128.03583 -43.23018       0       1 
 586092        7    0.00017  0.311    0.022   0.00000     1  0.372    0.000  -16425.40  0.039  0.025   28.4      1 261.64491 -2.08958 128.03581 -43.23014       0       1 
 586092        8    0.00008  0.211    0.015   0.00004     2  0.634    0.000  -18717.39  0.034  0.051  -21.5      1 261.64698 -2.08672 128.04064 -43.23012       0       1 
 586092        9    0.00027  0.560    0.037  -0.00000     2  0.163    0.000  -16474.64  0.030  0.038  -37.5      1 261.64520 -2.08860 128.03713 -43.22980       0       1 
 586092       10    0.00026  0.517    0.036  -0.00002     2  0.177    0.000  -16168.90  0.029  0.037  -35.3      1 261.64435 -2.08931 128.03565 -43.22954       0       1 
 586092       11    0.00018  0.370    0.026  -0.00001     2  0.309    0.000  -16241.19  0.040  0.029   27.8      1 261.64413 -2.08940 128.03538 -43.22942       0       1 
 586092       12    0.00007  0.135    0.010  -0.00004     2  0.963    0.000  -35703.45  0.028  0.051    7.5      1 261.64429 -2.08896 128.03598 -43.22928       0       1 
 586092       13    0.00010  0.281    0.018   0.00004     2  0.456    0.000  -18593.05  0.043  0.037   22.2      1 261.64469 -2.08839 128.03694 -43.22927       0       1 
 586092       14    0.00008  0.259    0.014   0.00005     2  0.515    0.000  -16751.19  0.051  0.028   37.7      1 261.64465 -2.08757 128.03782 -43.22876       0       1 
 586092       15    0.00131  3.832    0.214   0.00000     2  0.099    0.000  -32062.00  0.035  0.046  -52.2      1 261.64481 -2.09002 128.03523 -43.23033       1       2 
 586092       16    0.00015  0.935    0.051   0.00000     2  0.099    0.000  -32062.00  0.051  0.051   90.0      1 261.64479 -2.09002 128.03522 -43.23031       1       2 
 586092       17    0.00008  0.270    0.015   0.00000     2  0.697    0.000  -39088.09  0.051  0.039  -43.7      1 261.64474 -2.08983 128.03540 -43.23016       1       2 
 586092       18    0.00006  0.163    0.011   0.00000     2  0.697    0.000  -39088.09  0.040  0.051   21.0      1 261.64473 -2.08983 128.03538 -43.23015       1       2 
 586092       19    0.00015  1.185    0.061   0.00000     2  0.068    0.002  -38704.66  0.051  0.051   42.6      1 261.64438 -2.08972 128.03522 -43.22981       1       3 
 586092       20    0.00180  9.487    0.407   0.00000     2  0.068    0.002  -38704.66  0.051  0.051   87.2      1 261.64439 -2.08970 128.03525 -43.22980       1       3 
 586092       21    0.00014  0.611    0.048   0.00000     2  0.068    0.002  -38704.66  0.051  0.051   89.0      1 261.64436 -2.08969 128.03524 -43.22977       1       3 
 586092       22    0.00056  2.783    0.120   0.00000     1  0.076    0.000  -43435.84  0.047  0.051  -58.2      1 261.64476 -2.08872 128.03663 -43.22952       1       2 
 586092       23    0.00009  0.364    0.022   0.00000     1  0.076    0.000  -43435.84  0.051  0.037   63.4      1 261.64474 -2.08873 128.03661 -43.22951       1       2 
